City,lat,lon
Indre-et-Loire,47.2232046,0.686670252328688
Isere,45.28979315,5.63438247738623
Jackson MS,39.0462506,-82.6428241665736
Jackson TN,35.6144446,-88.8177418
Jacksonville FL,30.3321838,-81.655651
Johnstown-Altoona PA,40.3267407,-78.9219698
Jonesboro AR,35.8428646,-90.7034522
Joplin MO-Pittsburg KS,37.08418,-94.51323
Juneau AK,58.3019496,-134.419734
Kansas City MO,39.100105,-94.5781416
Knoxville TN,35.9603948,-83.9210261
La Crosse-Eau Claire WI,43.8014053,-91.2395429
Lafayette IN,40.4167022,-86.8752869
Lafayette LA,30.2240897,-92.0198427
Lake Charles LA,30.2265949,-93.2173759
Landes,44.00996945,-0.643387235446738
Lansing MI,42.7337712,-84.5553805
Laredo TX,27.5199841,-99.4953764
Las Vegas NV,36.1662859,-115.149225
Lexington KY,38.0464066,-84.4970393
Lima OH,40.7399785,-84.105006
Lincoln & Hastings-Kearney NE,40.56902635,-98.3912625578518
Little Rock-Pine Bluff AR,34.7464809,-92.2895948
Loir-et-Cher,47.65977515,1.29718352539046
Loire,45.75385355,4.0454736825511
Loire-Atlantique,47.34816145,-1.87274612146193
Loiret,47.8710963,1.8683837
Los Angeles CA,34.0536909,-118.2427666
Lot,44.6249918,1.66577421697537
Lot-et-Garonne,44.3691703,0.453915758324875
Louisville KY,38.2542376,-85.759407
Lozère,44.5425706,3.52111464833333
Lubbock TX,33.5778631,-101.8551665
Macon GA,32.8406946,-83.6324022
Madison WI,43.074761,-89.3837613
Maine-et-Loire,47.38863045,-0.390909714638737
Manche,49.0918952,-1.24543706075455
Mankato MN,44.1634663,-93.9993505
Marne,48.961264,4.31224359285714
Marquette MI,46.4481521,-87.6305899
Mayenne,48.1507819,-0.649127381200709
Medford-Klamath Falls OR,42.3264181,-122.8718605
Memphis TN,35.1490215,-90.0516285
Meridian MS,43.61732135,-116.406121722657
Meurthe-et-Moselle,48.95596825,5.98703829975656
Meuse,26.2540493,29.2675469
Miami-Ft. Lauderdale FL,26.0917308,-80.1359398
Milwaukee WI,43.0349931,-87.922497
Minneapolis-St. Paul MN,44.9772995,-93.2654692
Minot-Bismarck-Dickinson(Williston) ND,48.23251,-101.296273
Missoula MT,46.8700801,-113.9952796
Mobile AL-Pensacola (Ft. Walton Beach) FL,27.1580171,-80.2462451
Monroe LA-El Dorado AR,33.215304,-92.638577
Monterey-Salinas CA,36.6744117,-121.6550372
Montgomery (Selma) AL,32.412398,-87.032556
Morbihan,47.82598115,-2.76334926955883
Moselle,49.4508445,6.3702522
Nashville TN,36.1622296,-86.7743531
New Orleans LA,29.9499323,-90.0701156
New York NY,40.7127281,-74.0060152
Nievre,47.11969705,3.54488979472272
Nord,8.7712794,13.7803627
Norfolk-Portsmouth-Newport News VA,36.8462923,-76.2929252
North Platte NE,41.1238873,-100.7654232
Odessa-Midland TX,31.9061867,-102.2839569
Oise,49.41205455,2.40648784690548
Oklahoma City OK,35.4729886,-97.5170536
Omaha NE,41.2587459,-95.9383758
Orlando-Daytona Beach-Melbourne FL,28.5479786,-81.4127841856302
Orne,48.57605325,0.0446617175958816
Ottumwa IA-Kirksville MO,41.0200145,-92.4112963
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,37.0833893,-88.6000478
Palm Springs CA,33.8246269,-116.540303
Panama City FL,30.1600827,-85.6545729
Paris,48.8566101,2.3514992
Parkersburg WV,39.2699565,-81.5506916
Pas-de-Calais,50.5144061,2.258007849774
Peoria-Bloomington IL,40.490698,-89.061913
Philadelphia PA,39.9527237,-75.1635262
Phoenix AZ,33.4485866,-112.0773456
Pittsburgh PA,40.4416941,-79.9900861
Portland OR,45.5202471,-122.6741949
Portland-Auburn ME,44.0978509,-70.2311655
Presque Isle ME,46.681479,-68.016357
Providence RI-New Bedford MA,41.8239891,-71.4128343
Puy-de-Dome,45.7715343,3.08399342067179
Pyrénées-Atlantiques,43.18718655,-0.728247400084667
Pyrénées-Orientales,42.625894,2.50650899469315
Quincy IL-Hannibal MO-Keokuk IA,41.0402645,-94.790254
Raleigh-Durham (Fayetteville) NC,35.7803977,-78.6390989
Rapid City SD,44.081176,-103.228006
Reno NV,39.52927,-119.8136744
Rhône,45.8802348,4.56453362955952
Richmond-Petersburg VA,17.9852846,-76.5871847
Roanoke-Lynchburg VA,37.2738215,-79.9602021478478
Rochester MN-Mason City IA-Austin MN,44.0234387,-92.4630182
Rochester NY,43.157285,-77.615214
Rockford IL,42.2713945,-89.093966
Sacramento-Stockton-Modesto CA,38.5815719,-121.4943996
Salisbury MD,38.3662114,-75.6008881
Salt Lake City UT,40.7670126,-111.8904308
San Angelo TX,31.4648357,-100.4398442
San Antonio TX,29.4246002,-98.4951405
San Diego CA,32.7174209,-117.1627714
San Francisco-Oakland-San Jose CA,45.4754429,-75.6989462845435
Santa Barbara-Santa Maria-San Luis Obispo CA,45.5361933,-73.6077401
Sarthe,48.02692875,0.253821748224732
Savannah GA,43.4129206,-79.7028276
Savoie,45.49489515,6.38466038137565
Saône-et-Loire,46.6557086,4.55855481835173
Seattle-Tacoma WA,47.4475673,-122.308015856951
Seine-Maritime,49.66323745,0.940113391060915
Seine-Saint-Denis,48.9098125,2.45286347844619
Seine-et-Marne,48.6191861,3.04170161525698
Shreveport LA,32.5221828,-93.7651944
Sioux City IA,42.4966815,-96.4058782
Somme,49.96897145,2.37385895461066
South Bend-Elkhart IN,41.6833813,-86.2500066
Spokane WA,47.6579425,-117.4212265
Springfield MO,37.2166779,-93.2920373
Springfield-Holyoke MA,42.2417576,-72.6478684
St. Joseph MO,39.7686055,-94.8466322
St. Louis MO,38.6268039,-90.1994097
Syracuse NY,43.0481221,-76.1474244
Tallahassee FL-Thomasville GA,30.5333562,-84.2328667
Tampa-St. Petersburg (Sarasota) FL,27.9518491,-82.4563972
Tarn,43.7921741,2.13396477226954
Tarn-et-Garonne,44.080656,1.20506329587002
Terre Haute IN,39.4667025,-87.4139119
Territoire de Belfort,47.62923095,6.89930115671088
Toledo OH,41.6786754,-83.5127283
Topeka KS,39.049011,-95.677556
Traverse City-Cadillac MI,44.2758388,-85.7136746
Tri-Cities TN-VA,46.2306739,-119.0921006
Tulsa OK,36.1556805,-95.9929113
Twin Falls ID,42.5704219,-114.4603171
Tyler-Longview(Lufkin & Nacogdoches) TX,32.3512601,-95.3010624
Utica NY,43.1009031,-75.2326641
Val-d'Oise,49.07507045,2.20981144366838
Val-de-Marne,48.77448935,2.45433214445882
Var,43.4173592,6.26645970795427
Vaucluse,43.99386435,5.18188983890024
Vendee,46.67577325,-1.29144634801388
Victoria TX,28.8026443,-96.9766308
Vienne,48.2083537,16.3725042
Vosges,48.16378605,6.38207117359553
Waco-Temple-Bryan TX,30.681537,-96.3564665
Watertown NY,43.9747838,-75.9107565
Wausau-Rhinelander WI,44.9596017,-89.6298239
West Palm Beach-Ft. Pierce FL,26.7153425,-80.0533746
Wichita-Hutchinson KS,35.636801,-101.622492
Wilkes Barre-Scranton PA,41.2464824,-75.8817316
Wilmington NC,34.2257282,-77.9447107
Yakima-Pasco-Richland-Kennewick WA,46.2591683,-119.2904401
Yonne,47.85512575,3.64504392572388
Youngstown OH,41.1035786,-80.6520161
Yvelines,48.761836,1.88824691181185
Zanesville OH,39.9403453,-82.0131924
