City-Name,Address,Latitude,Longitude
Birmingham AL,"Birmingham Alley, Birmingham, Jefferson County, Alabama, 35217, United States",33.570499,-86.765783
Columbus GA,"Columbus Gate, Mount Albion, Hamilton, Golden Horseshoe, Ontario, L8J 0B4, Canada",43.1830762,-79.8147518
Dothan AL,"Dothan, Houston County, Alabama, United States",31.2237434,-85.3933906
Huntsville-Decatur (Florence) AL,"Huntsville Alley, North Birmingham, Birmingham, Jefferson County, Alabama, 35207, United States",33.561968,-86.798814
Meridian MS,"Meridian Middle School, High Street, Blue Mound, Macon County, Illinois, 62513, United States",39.6950405,-89.1217469
Mobile AL-Pensacola (Ft. Walton Beach) FL,"Mobile, South Babcock Street, Melbourne, Brevard County, Florida, 32901, United States of America",28.06365535,-80.62182115
Montgomery (Selma) AL,"Montgomery Avenue, Selma, Dallas County, Alabama, 36701, United States",32.412398,-87.032556
Anchorage AK,"Anchorage, Alaska, United States",61.2163129,-149.8948523
Fairbanks AK,"Fairbanks, Fairbanks North Star, Alaska, United States",64.837845,-147.716675
Juneau AK,"Juneau, Alaska, 99802, United States",58.3019496,-134.419734
Phoenix AZ,"Phoenix, Maricopa County, Arizona, United States of America",33.4485866,-112.0773456
Tucson (Sierra Vista) AZ,,32.25346,-110.911789
Yuma AZ-El Centro CA,"Yuma, Yuma County, Arizona, United States of America",32.665135,-114.4760316
Ft. Smith-Fayetteville-Springdale-Rogers AR,"Fort Smith, Sebastian County, Arkansas, United States of America",35.3872218,-94.4248983
Jonesboro AR,"Jonesboro, Craighead County, Arkansas, United States of America",35.8428646,-90.7034522
Little Rock-Pine Bluff AR,"Little Rock, Arkansas, United States",34.7464809,-92.2895948
Memphis TN,"Memphis, Shelby County, Tennessee, United States of America",35.1490215,-90.0516285
Monroe LA-El Dorado AR,"Monroe, El Dorado, Union County, Arkansas, 71730, United States",33.215304,-92.638577
Shreveport LA,,32.5221828,-93.7651944
Springfield MO,"Springfield, Greene County, Missouri, United States of America",37.2166779,-93.2920373
Bakersfield CA,"Bakersfield, Kern County, California, United States of America",35.3738712,-119.0194639
Chico-Redding CA,"Redding Drive, Chico, Butte County, California, 95973, United States",39.7571872,-121.8301977
Eureka CA,"Eureka, Municipality of Pictou County, Pictou County, Nova Scotia, Canada",45.4985271,-62.6816736
Fresno-Visalia CA,"Fresno No. 3, Fresno County, California, 93702, United States",36.7561762,-119.4751227
Los Angeles CA,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
Medford-Klamath Falls OR,"Medford, Jackson County, Oregon, United States of America",42.3264181,-122.8718605
Monterey-Salinas CA,"Salinas, Monterey County, California, United States of America",36.6744117,-121.6550372
Palm Springs CA,"Palm Springs, Riverside County, California, United States",33.8246269,-116.540303
Reno NV,"Reno, Washoe County, Nevada, United States",39.52927,-119.8136744
Sacramento-Stockton-Modesto CA,"Sacramento, Sacramento County, California, United States of America",38.5815719,-121.4943996
San Diego CA,"San Diego, San Diego County, California, United States of America",32.7174209,-117.1627714
San Francisco-Oakland-San Jose CA,"San Francisco, Rue Évangéline, Granby, La Haute-Yamaska, Montérégie, Québec, J2G 2Z5, Canada",45.4149778,-72.749396
Santa Barbara-Santa Maria-San Luis Obispo CA,"Santa Barbara, 6696, Rue de Saint-Vallier, Petite Italie, Saint-Édouard, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2S 2P7, Canada",45.5361933,-73.6077401
Colorado Springs-Pueblo CO,"Colorado Springs, El Paso County, Colorado, United States of America",38.8339578,-104.8253485
Denver CO,"Denver County, Colorado, United States",39.7348381,-104.9653271
Grand Junction-Montrose CO,"Grand Junction, Mesa County, Colorado, 81501, United States of America",39.063956,-108.5507317
Hartford & New Haven CT,,41.76371,-72.685097
Philadelphia PA,"Philadelphia, Philadelphia County, Pennsylvania, United States of America",39.9527237,-75.1635262
Salisbury MD,"Salisbury, Wicomico County, Maryland, United States of America",38.3662114,-75.6008881
Ft. Myers-Naples FL,"Naples-Fort Myers Greyhound Racing & Poker, Compound Road, Bonita Springs, Lee County, Florida, 34135, United States",26.3257969,-81.7766479
Gainesville FL,"Gainesville, FL, 101, Northeast 23rd Avenue, Duckpond, City of Gainesville Municipal Boundaries, Alachua County, Florida, 32609-3640, United States",29.67357765,-82.3233746
Jacksonville FL,"Jacksonville, Duval County, Florida, United States of America",30.3321838,-81.655651
Miami-Ft. Lauderdale FL,"South Miami Road, Fort Lauderdale, Broward County, Florida, 33316, United States",26.0917308,-80.1359398
Orlando-Daytona Beach-Melbourne FL,"Orlando, FL, John Young Parkway, Orlando, Orange County, Florida, 32805-1100, United States of America",28.5479786,-81.41278419
Panama City FL,"Panama City, Bay County, Florida, United States",30.1600827,-85.6545729
Tallahassee FL-Thomasville GA,"Thomasville Road, Tallahassee, Leon County, Florida, 32312, United States of America",30.5333562,-84.2328667
Tampa-St. Petersburg (Sarasota) FL,"Tampa, FL, 610, Polk Street, Ridgewood Park, Tampa Heights, Tampa, Hillsborough County, Florida, 33602, United States of America",27.9518491,-82.4563972
West Palm Beach-Ft. Pierce FL,"West Palm Beach, Palm Beach County, Florida, United States",26.7153425,-80.0533746
Albany GA,"Albany Gate, Stoke Gifford, South Gloucestershire, South West England, England, BS34 8UJ, United Kingdom",51.5190917,-2.546169
Atlanta GA,"Atlanta, Fulton County, Georgia, United States",33.7490987,-84.3901849
Augusta GA,"Augusta, Richmond County, Georgia, 30901, United States",33.4709714,-81.9748429
Chattanooga TN,"Chattanooga, Hamilton County, Tennessee, United States of America",35.0457219,-85.3094883
Macon GA,"Macon, Bibb County, Georgia, United States",32.8406946,-83.6324022
Savannah GA,"Savannah Gate, Bronte, Oakville, Halton Region, Ontario, L6L 4G2, Canada",43.4129206,-79.7028276
Honolulu HI,"Honolulu, Honolulu County, Hawaii, United States of America",21.304547,-157.8556764
Boise ID,"Boise, Ada County, Idaho, 83702, United States of America",43.6166163,-116.200886
Idaho Falls-Pocatello ID,"Idaho Falls, Bonneville County, Idaho, United States of America",43.4935245,-112.0400919
Spokane WA,"Spokane, Spokane County, Washington, United States",47.6579425,-117.4212265
